Medicao,Dia,Consumo_kWh,Mes,Tipo,MesOrdem
Consumo ativo de Ponta,2026-01-06,6059.268,Jan,Real (pos-carga),2
Consumo ativo Fora de Ponta,2026-01-07,36210.519,Jan,Real (pos-carga),2
Consumo ativo de Ponta,2026-01-07,6071.268,Jan,Real (pos-carga),2
Consumo ativo Fora de Ponta,2026-01-08,38496.879,Jan,Real (pos-carga),2
Consumo ativo de Ponta,2026-01-08,6091.908,Jan,Real (pos-carga),2
Consumo ativo Fora de Ponta,2026-01-09,36013.241,Jan,Real (pos-carga),2
Consumo ativo de Ponta,2026-01-09,6209.628,Jan,Real (pos-carga),2
Consumo ativo Fora de Ponta,2026-01-10,43158.386,Jan,Real (pos-carga),2
Consumo ativo Fora de Ponta,2026-01-11,42145.707,Jan,Real (pos-carga),2
Consumo ativo Fora de Ponta,2026-01-12,36458.078,Jan,Real (pos-carga),2
Consumo ativo de Ponta,2026-01-12,5906.268,Jan,Real (pos-carga),2
Consumo ativo Fora de Ponta,2026-01-13,37106.078,Jan,Real (pos-carga),2
Consumo ativo de Ponta,2026-01-13,5969.148,Jan,Real (pos-carga),2
Consumo ativo Fora de Ponta,2026-01-14,36536.918,Jan,Real (pos-carga),2
Consumo ativo de Ponta,2026-01-14,5889.948,Jan,Real (pos-carga),2
Consumo ativo Fora de Ponta,2026-01-15,36178.719,Jan,Real (pos-carga),2
Consumo ativo de Ponta,2026-01-15,5996.988,Jan,Real (pos-carga),2
Consumo ativo Fora de Ponta,2026-01-16,37589.918,Jan,Real (pos-carga),2
Consumo ativo de Ponta,2026-01-16,6036.708,Jan,Real (pos-carga),2
Consumo ativo Fora de Ponta,2026-01-17,45947.067,Jan,Real (pos-carga),2
Consumo ativo Fora de Ponta,2026-01-18,40930.588,Jan,Real (pos-carga),2
Consumo ativo Fora de Ponta,2026-01-19,33829.486,Jan,Real (pos-carga),2
Consumo ativo de Ponta,2026-01-19,5870.268,Jan,Real (pos-carga),2
Consumo ativo Fora de Ponta,2026-01-20,36742.358,Jan,Real (pos-carga),2
Consumo ativo de Ponta,2026-01-20,5842.068,Jan,Real (pos-carga),2
Consumo ativo Fora de Ponta,2026-01-21,36747.879,Jan,Real (pos-carga),2
Consumo ativo de Ponta,2026-01-21,5716.188,Jan,Real (pos-carga),2
