dia,mes,tipo,dow,has_ponta,has_overflow,cons_hp_total,cons_hp_residual,cons_fp_total,cons_fp_net,dem_hp_max,dem_fp_max,dem_hp_resid,solar_saving,bess_charge_kwh,bess_dead
2025-05-29,Mai,Ajustado,Thursday,True,True,5824.60,280.96,35945.46,37109.56,1970.66,2440.67,98.53,4281.21,5445.31,False
2025-05-30,Mai,Ajustado,Friday,True,True,6008.63,290.76,35878.30,36466.55,2278.79,2461.96,113.94,4955.39,5543.64,False
2025-05-31,Mai,Ajustado,Saturday,False,False,0.00,0.00,42614.14,39617.53,0.00,2451.05,0.00,8714.48,5717.87,False
2025-06-01,Jun,Ajustado,Sunday,False,False,0.00,0.00,38932.24,29737.81,0.00,2435.99,0.00,9194.43,0.00,False
2025-06-02,Jun,Ajustado,Monday,True,True,5544.55,267.45,35180.64,25465.06,1877.09,2407.95,93.85,9715.59,0.00,False
2025-06-03,Jun,Ajustado,Tuesday,True,True,5608.07,270.52,34359.62,29911.14,1944.53,2299.92,97.23,9725.57,5277.09,False
2025-06-04,Jun,Ajustado,Wednesday,True,True,5624.77,271.32,33402.40,29275.19,1912.12,2461.96,95.61,9464.76,5337.55,False
2025-06-05,Jun,Ajustado,Thursday,True,True,6162.12,374.69,33544.70,31087.56,2298.95,2414.70,215.18,7810.58,5353.44,False
2025-06-06,Jun,Ajustado,Friday,True,True,6338.37,345.50,33566.23,32552.06,2288.87,2496.75,187.83,6801.60,5787.43,False
2025-06-07,Jun,Ajustado,Saturday,False,False,0.00,0.00,44034.34,44322.44,0.00,2451.05,0.00,5704.77,5992.87,False
2025-06-08,Jun,Ajustado,Sunday,False,False,0.00,0.00,40447.48,32259.91,0.00,2379.91,0.00,8187.57,0.00,False
2025-06-09,Jun,Ajustado,Monday,True,True,5539.59,267.21,35670.62,25628.73,1901.14,2412.11,95.06,10041.89,0.00,False
2025-06-10,Jun,Ajustado,Tuesday,True,True,5818.08,280.65,36107.96,31285.96,1977.46,2399.13,98.87,10094.38,5272.38,False
2025-06-11,Jun,Ajustado,Wednesday,True,True,5751.16,277.42,35716.58,31753.28,1951.32,2412.11,97.57,9500.73,5537.43,False
2025-06-12,Jun,Ajustado,Thursday,True,True,6830.10,630.10,39320.71,35610.68,2375.40,2483.77,289.53,9183.77,5473.74,True
2025-06-13,Jun,Ajustado,Friday,True,True,5769.42,278.30,36343.76,38045.24,1964.39,2405.88,98.22,4498.52,6200.00,False
2025-06-14,Jun,Ajustado,Saturday,False,False,0.00,0.00,41371.28,39600.03,0.00,2513.89,0.00,7262.37,5491.12,False
2025-06-15,Jun,Ajustado,Sunday,False,False,0.00,0.00,37723.51,27992.56,0.00,2310.61,0.00,9730.95,0.00,False
2025-06-16,Jun,Ajustado,Monday,True,True,5489.24,264.78,34434.60,27103.24,1877.09,2390.82,93.85,7331.36,0.00,False
2025-06-17,Jun,Ajustado,Tuesday,True,True,5368.32,258.95,34771.69,30830.45,1837.89,2375.76,91.89,9165.69,5224.46,False
2025-06-18,Jun,Ajustado,Wednesday,True,True,5720.25,275.93,35189.57,33250.14,1955.50,2369.01,97.78,7048.80,5109.37,False
2025-06-19,Jun,Ajustado,Thursday,True,True,5530.59,266.78,33634.41,33838.98,1866.12,2279.04,93.31,5239.75,5444.32,False
2025-06-20,Jun,Ajustado,Friday,True,True,5604.29,270.33,34982.49,34848.27,1916.30,2410.03,95.81,5398.04,5263.81,False
2025-06-21,Jun,Ajustado,Saturday,False,False,0.00,0.00,40887.57,37182.10,0.00,2446.90,0.00,9039.43,5333.95,False
2025-06-22,Jun,Ajustado,Sunday,False,False,0.00,0.00,37106.96,29883.36,0.00,2289.22,0.00,7223.59,0.00,False
2025-06-23,Jun,Ajustado,Monday,True,True,5553.42,267.88,33309.60,28011.33,1907.94,2310.61,95.40,5298.28,0.00,False
2025-06-24,Jun,Ajustado,Tuesday,True,True,5665.99,273.31,34762.70,30729.97,1918.39,2386.14,95.92,9318.27,5285.54,False
2025-06-25,Jun,Ajustado,Wednesday,True,True,5640.81,272.10,33290.60,29014.32,1916.30,2401.72,95.81,9668.96,5392.67,False
2025-06-26,Jun,Ajustado,Thursday,True,True,5697.81,274.85,35281.30,31596.59,1931.46,2321.31,96.57,9053.42,5368.71,False
2025-06-27,Jun,Ajustado,Friday,True,True,5783.38,278.97,35178.65,33339.99,1962.30,2420.94,98.11,7261.63,5422.97,False
2025-06-28,Jun,Ajustado,Saturday,False,False,0.00,0.00,42336.48,38372.08,0.00,2425.09,0.00,9468.81,5504.41,False
2025-06-29,Jun,Ajustado,Sunday,False,False,0.00,0.00,38924.64,29448.64,0.00,2392.89,0.00,9475.99,0.00,False
2025-06-30,Jun,Ajustado,Monday,True,True,5639.64,272.04,35613.32,26739.41,1942.44,2492.60,97.12,8873.91,0.00,False
2025-07-01,Jul,Ajustado,Tuesday,True,True,5674.59,273.73,35330.67,31946.01,1970.66,2455.73,98.53,8752.25,5367.60,False
2025-07-02,Jul,Ajustado,Wednesday,True,True,5749.34,277.33,36916.70,36318.85,1953.41,2440.67,97.67,5998.73,5400.87,False
2025-07-03,Jul,Ajustado,Thursday,True,True,5643.42,272.22,35793.81,35246.91,1964.39,2412.11,98.22,6018.90,5472.00,False
2025-07-04,Jul,Ajustado,Friday,True,True,5662.59,273.15,35962.56,36078.50,1962.30,2407.95,98.11,5255.26,5371.20,False
2025-07-05,Jul,Ajustado,Saturday,False,False,0.00,0.00,41084.47,40783.05,0.00,2390.82,0.00,5690.87,5389.45,False
2025-07-06,Jul,Ajustado,Sunday,False,False,0.00,0.00,37243.55,27795.04,0.00,2289.22,0.00,9448.51,0.00,False
2025-07-07,Jul,Ajustado,Monday,True,True,5625.29,271.35,33859.88,27614.89,1912.12,2293.81,95.61,6244.99,0.00,False
2025-07-08,Jul,Ajustado,Tuesday,True,True,5622.94,271.23,35365.05,30555.24,1907.94,2386.14,95.40,10163.75,5353.94,False
2025-07-09,Jul,Ajustado,Wednesday,False,False,0.00,0.00,9559.48,9315.80,0.00,1455.53,0.00,243.68,0.00,False
2025-07-10,Jul,Ajustado,Thursday,True,True,5627.25,778.95,18850.74,17610.53,1944.53,2381.99,328.43,5240.22,4000.00,True
2025-07-11,Jul,Ajustado,Friday,True,True,5754.94,277.60,36411.26,33856.21,1960.21,2466.63,98.01,8755.05,6200.00,False
2025-07-12,Jul,Ajustado,Saturday,False,False,0.00,0.00,42864.10,38395.30,0.00,2429.76,0.00,9946.15,5477.34,False
2025-07-13,Jul,Ajustado,Sunday,False,False,0.00,0.00,37367.99,26928.73,0.00,2285.15,0.00,10439.26,0.00,False
2025-07-14,Jul,Ajustado,Monday,True,True,5513.11,265.94,33629.43,24221.56,1868.73,2219.45,93.44,9407.87,0.00,False
2025-07-15,Jul,Ajustado,Tuesday,True,True,5651.12,272.59,34651.30,30503.99,1962.30,2364.85,98.11,9394.48,5247.18,False
2025-07-16,Jul,Ajustado,Wednesday,True,True,5622.42,271.21,35368.42,31300.39,1927.28,2358.10,96.36,9446.55,5378.52,False
2025-07-17,Jul,Ajustado,Thursday,True,True,5643.55,272.23,34048.02,30098.39,1918.39,2371.08,95.92,9300.84,5351.21,False
2025-07-18,Jul,Ajustado,Friday,True,True,6005.64,291.07,35639.56,32784.99,2276.42,2410.03,113.82,8225.89,5371.32,False
2025-07-19,Jul,Ajustado,Saturday,False,False,0.00,0.00,41056.60,41399.17,0.00,2403.80,0.00,5372.00,5714.58,False
2025-07-20,Jul,Ajustado,Sunday,False,False,0.00,0.00,38433.78,28706.80,0.00,2394.97,0.00,9726.97,0.00,False
2025-07-21,Jul,Ajustado,Monday,True,True,5745.68,277.15,34742.47,24344.04,1929.37,2390.82,96.47,10398.43,0.00,False
2025-07-22,Jul,Ajustado,Tuesday,True,True,5879.82,288.99,35628.01,30471.47,2244.42,2377.83,131.84,10625.08,5468.53,False
2025-07-23,Jul,Ajustado,Wednesday,True,True,5762.77,277.98,35986.89,31673.37,1966.48,2433.92,98.32,9904.36,5590.84,False
2025-07-24,Jul,Ajustado,Thursday,True,True,6746.69,546.69,36374.98,33295.57,2333.32,2500.91,246.80,8564.21,5484.79,True
2025-07-25,Jul,Ajustado,Friday,True,True,5630.90,271.62,31838.31,29307.82,1942.44,2442.75,97.12,8730.49,6200.00,False
