Dia,Consumo_kWh,Demanda_Max_kW,N_leituras,Mes,Tipo,MesOrdem
2025-04-12,20377.918086017406,610.3979019521458,40,Abr,Ajustado (delta),5
2025-04-13,19213.603089941993,606.2455279160944,40,Abr,Ajustado (delta),5
2025-04-14,20053.323991768437,597.1622097122321,40,Abr,Ajustado (delta),5
2025-04-15,20142.493059269847,596.9026863349789,40,Abr,Ajustado (delta),5
2025-04-16,20418.676385747545,598.7193499757512,40,Abr,Ajustado (delta),5
2025-04-17,20833.826015295872,606.6348129819743,40,Abr,Ajustado (delta),5
2025-04-18,15291.550823624455,461.06203005715173,40,Abr,Ajustado (delta),5
2025-04-19,20002.349143645188,603.0014857004293,40,Abr,Ajustado (delta),5
2025-04-20,17636.258322149075,575.5627648923598,40,Abr,Ajustado (delta),5
2025-04-21,19271.91130727028,574.2877010300525,40,Abr,Ajustado (delta),5
2025-04-22,20669.07231020575,598.2003032212449,40,Abr,Ajustado (delta),5
2025-04-23,20442.945370992697,593.2693590534338,40,Abr,Ajustado (delta),5
2025-04-24,19633.645862453683,567.9123817185152,40,Abr,Ajustado (delta),5
2025-04-25,20518.077155032504,603.3907707663092,40,Abr,Ajustado (delta),5
2025-04-26,20563.420439973987,621.4276454854072,40,Abr,Ajustado (delta),5
2025-04-27,18913.78484035957,593.918167496567,40,Abr,Ajustado (delta),5
2025-04-28,19684.77592333221,576.5828159822058,40,Abr,Ajustado (delta),5
2025-04-29,20389.523496314745,598.2003032212449,40,Abr,Ajustado (delta),5
2025-04-30,20617.905673683697,604.4288642753219,40,Abr,Ajustado (delta),5
2025-05-01,16537.025766453833,466.6723110513045,40,Mai,Ajustado (delta),6
2025-05-02,20305.093246428245,599.2383967302577,40,Mai,Ajustado (delta),6
2025-05-03,20361.93941807849,608.7109999999999,40,Mai,Ajustado (delta),6
2025-05-04,18527.81402747163,598.459826598498,40,Mai,Ajustado (delta),6
2025-05-05,20063.441659776443,606.8943363592275,40,Mai,Ajustado (delta),6
2025-05-06,20046.63904745506,576.9653351408981,40,Mai,Ajustado (delta),6
2025-05-07,19892.665129883662,599.4979201075109,40,Mai,Ajustado (delta),6
2025-05-08,20687.843773743232,603.9098175208155,40,Mai,Ajustado (delta),6
2025-05-09,21545.54092738551,613.3824207905577,40,Mai,Ajustado (delta),6
2025-05-10,20536.01678652342,604.6883876525751,40,Mai,Ajustado (delta),6
2025-05-11,19795.875223922612,604.6883876525751,40,Mai,Ajustado (delta),6
2025-05-12,19595.138933811995,576.3278032097444,40,Mai,Ajustado (delta),6
2025-05-13,20255.893056862424,598.2003032212449,40,Mai,Ajustado (delta),6
2025-05-14,19936.473529751696,579.2604500930514,40,Mai,Ajustado (delta),6
2025-05-15,20351.453938569437,591.1931720354082,40,Mai,Ajustado (delta),6
2025-05-16,20409.193551816155,602.2229155686696,40,Mai,Ajustado (delta),6
2025-05-17,20753.485873226946,606.8943363592275,40,Mai,Ajustado (delta),6
2025-05-18,19186.47178410878,604.1693408980688,40,Mai,Ajustado (delta),6
2025-05-19,20154.74215244071,593.918167496567,40,Mai,Ajustado (delta),6
2025-05-20,20247.416742206504,594.9562610055797,40,Mai,Ajustado (delta),6
2025-05-21,19819.876366321892,590.933648658155,40,Mai,Ajustado (delta),6
2025-05-22,20220.551477338486,599.4979201075109,40,Mai,Ajustado (delta),6
2025-05-23,20565.82934693172,601.7038688141632,40,Mai,Ajustado (delta),6
2025-05-24,21137.480816181698,626.099066275965,40,Mai,Ajustado (delta),6
2025-05-25,19103.17825773852,601.7038688141632,40,Mai,Ajustado (delta),6
2025-05-26,20321.12852271011,603.9098175208155,40,Mai,Ajustado (delta),6
2025-05-27,20233.71971355036,599.4979201075109,40,Mai,Ajustado (delta),6
2025-05-28,19992.502357388257,608.7109999999999,40,Mai,Ajustado (delta),6
2025-05-29,20303.704484088816,609.8788551976394,40,Mai,Ajustado (delta),6
2025-05-30,20339.605848934552,615.1990844313301,40,Mai,Ajustado (delta),6
2025-05-31,20736.909591653864,612.4740889701715,40,Mai,Ajustado (delta),6
2025-06-01,18398.37063737543,608.7109999999999,40,Jun,Ajustado (delta),7
2025-06-02,20123.11287522428,601.7038688141632,40,Jun,Ajustado (delta),7
2025-06-03,19830.26071002149,575.8177776648214,40,Jun,Ajustado (delta),7
2025-06-04,20789.282781348906,615.1990844313301,40,Jun,Ajustado (delta),7
2025-06-05,21420.28572590227,603.3907707663092,40,Jun,Ajustado (delta),7
2025-06-06,21195.681707438,623.8931175693126,40,Jun,Ajustado (delta),7
2025-06-07,20788.100421537456,612.4740889701715,40,Jun,Ajustado (delta),7
2025-06-08,19071.123210363516,594.6967376283264,40,Jun,Ajustado (delta),7
2025-06-09,20612.858905729303,602.741962323176,40,Jun,Ajustado (delta),7
2025-06-10,20706.5510093545,599.4979201075109,40,Jun,Ajustado (delta),7
2025-06-11,20242.603143755478,602.741962323176,39,Jun,Ajustado (delta),7
2025-06-12,21179.97195279012,620.6490753536475,40,Jun,Ajustado (delta),7
2025-06-13,20809.191355525752,601.1848220596568,40,Jun,Ajustado (delta),7
2025-06-14,21088.303679255965,628.1752532939906,40,Jun,Ajustado (delta),7
2025-06-15,17896.626362832256,578.495411775667,40,Jun,Ajustado (delta),7
2025-06-16,19742.328103994132,597.4217330894853,40,Jun,Ajustado (delta),7
2025-06-17,20115.452143062477,593.6586441193137,40,Jun,Ajustado (delta),7
2025-06-18,20168.24079337023,591.9717421671678,40,Jun,Ajustado (delta),7
2025-06-19,19471.331295335163,570.5900158293609,40,Jun,Ajustado (delta),7
2025-06-20,20357.500259825913,602.2229155686696,40,Jun,Ajustado (delta),7
2025-06-21,20244.895151787794,611.4359954611585,40,Jun,Ajustado (delta),7
2025-06-22,17158.364386556248,573.1401435539758,40,Jun,Ajustado (delta),7
2025-06-23,19504.354386815707,578.495411775667,40,Jun,Ajustado (delta),7
2025-06-24,19892.69628715996,596.2538778918458,40,Jun,Ajustado (delta),7
2025-06-25,20194.967035831734,600.146728550644,40,Jun,Ajustado (delta),7
2025-06-26,20158.41378042088,591.4526954126613,40,Jun,Ajustado (delta),7
2025-06-27,20387.47257402242,604.9479110298283,40,Jun,Ajustado (delta),7
2025-06-28,20296.45210252317,605.9860045388413,40,Jun,Ajustado (delta),7
2025-06-29,18535.624255187537,597.9407798439917,40,Jun,Ajustado (delta),7
2025-06-30,20428.810945129302,622.8550240602999,40,Jun,Ajustado (delta),7
2025-07-01,20086.925133714303,613.641944167811,40,Jul,Ajustado (delta),8
2025-07-02,20810.67829663128,609.8788551976394,40,Jul,Ajustado (delta),8
2025-07-03,20426.495005779943,602.741962323176,40,Jul,Ajustado (delta),8
2025-07-04,20235.20315629263,601.7038688141632,40,Jul,Ajustado (delta),8
2025-07-05,20169.2149380254,597.4217330894853,40,Jul,Ajustado (delta),8
2025-07-06,16982.405573557822,573.1401435539758,40,Jul,Ajustado (delta),8
2025-07-07,18963.34585259188,574.2877010300525,40,Jul,Ajustado (delta),8
2025-07-08,20313.412112707007,596.2538778918458,40,Jul,Ajustado (delta),8
